NOM BARRI;EDATS;TOTAL HOMES;TOTAL DONES;TOTAL
CENTRE HISTORIC;DE   0  A   5  ANYS;379;381;760
CENTRE HISTORIC;DE   6  A  10  ANYS;245;211;456
CENTRE HISTORIC;DE  11  A  15  ANYS;203;204;407
CENTRE HISTORIC;DE  16  A  20  ANYS;247;227;474
CENTRE HISTORIC;DE  21  A  25  ANYS;358;351;709
CENTRE HISTORIC;DE  26  A  30  ANYS;512;441;953
CENTRE HISTORIC;DE  31  A  35  ANYS;715;508;1223
CENTRE HISTORIC;DE  36  A  40  ANYS;674;460;1134
CENTRE HISTORIC;DE  41  A  45  ANYS;572;407;979
CENTRE HISTORIC;DE  46  A  50  ANYS;453;338;791
CENTRE HISTORIC;DE  51  A  55  ANYS;349;259;608
CENTRE HISTORIC;DE  56  A  60  ANYS;225;193;418
CENTRE HISTORIC;DE  61  A  65  ANYS;160;180;340
CENTRE HISTORIC;DE  66  A  70  ANYS;128;174;302
CENTRE HISTORIC;DE  71  A  75  ANYS;128;171;299
CENTRE HISTORIC;DE  76  A  80  ANYS;108;196;304
CENTRE HISTORIC;MES   DE   80  ANYS;189;420;609
RAMBLA FERRAN - ESTACIO;DE   0  A   5  ANYS;118;114;232
RAMBLA FERRAN - ESTACIO;DE   6  A  10  ANYS;87;83;170
RAMBLA FERRAN - ESTACIO;DE  11  A  15  ANYS;81;68;149
RAMBLA FERRAN - ESTACIO;DE  16  A  20  ANYS;91;97;188
RAMBLA FERRAN - ESTACIO;DE  21  A  25  ANYS;144;156;300
RAMBLA FERRAN - ESTACIO;DE  26  A  30  ANYS;179;173;352
RAMBLA FERRAN - ESTACIO;DE  31  A  35  ANYS;249;188;437
RAMBLA FERRAN - ESTACIO;DE  36  A  40  ANYS;279;179;458
RAMBLA FERRAN - ESTACIO;DE  41  A  45  ANYS;219;157;376
RAMBLA FERRAN - ESTACIO;DE  46  A  50  ANYS;175;135;310
RAMBLA FERRAN - ESTACIO;DE  51  A  55  ANYS;133;161;294
RAMBLA FERRAN - ESTACIO;DE  56  A  60  ANYS;122;106;228
RAMBLA FERRAN - ESTACIO;DE  61  A  65  ANYS;93;94;187
RAMBLA FERRAN - ESTACIO;DE  66  A  70  ANYS;65;50;115
RAMBLA FERRAN - ESTACIO;DE  71  A  75  ANYS;36;47;83
RAMBLA FERRAN - ESTACIO;DE  76  A  80  ANYS;47;70;117
RAMBLA FERRAN - ESTACIO;MES   DE   80  ANYS;55;124;179
UNIVERSITAT;DE   0  A   5  ANYS;285;259;544
UNIVERSITAT;DE   6  A  10  ANYS;201;211;412
UNIVERSITAT;DE  11  A  15  ANYS;223;258;481
UNIVERSITAT;DE  16  A  20  ANYS;282;326;608
UNIVERSITAT;DE  21  A  25  ANYS;341;401;742
UNIVERSITAT;DE  26  A  30  ANYS;383;381;764
UNIVERSITAT;DE  31  A  35  ANYS;466;384;850
UNIVERSITAT;DE  36  A  40  ANYS;456;405;861
