NOM BARRI,EDATS,TOTAL HOMES,TOTAL DONES,TOTAL
CENTRE HISTORIC,DE   0  A   5  ANYS,355,350,705
CENTRE HISTORIC,DE   6  A  10  ANYS,260,210,470
CENTRE HISTORIC,DE  11  A  15  ANYS,194,177,371
CENTRE HISTORIC,DE  16  A  20  ANYS,235,226,461
CENTRE HISTORIC,DE  21  A  25  ANYS,339,302,641
CENTRE HISTORIC,DE  26  A  30  ANYS,424,399,823
CENTRE HISTORIC,DE  31  A  35  ANYS,646,481,1127
CENTRE HISTORIC,DE  36  A  40  ANYS,679,439,1118
CENTRE HISTORIC,DE  41  A  45  ANYS,587,448,1035
CENTRE HISTORIC,DE  46  A  50  ANYS,459,325,784
CENTRE HISTORIC,DE  51  A  55  ANYS,361,299,660
CENTRE HISTORIC,DE  56  A  60  ANYS,239,198,437
CENTRE HISTORIC,DE  61  A  65  ANYS,188,180,368
CENTRE HISTORIC,DE  66  A  70  ANYS,138,168,306
CENTRE HISTORIC,DE  71  A  75  ANYS,124,166,290
CENTRE HISTORIC,DE  76  A  80  ANYS,109,195,304
CENTRE HISTORIC,MES   DE   80  ANYS,179,396,575
RAMBLA FERRAN - ESTACIO,DE   0  A   5  ANYS,112,105,217
RAMBLA FERRAN - ESTACIO,DE   6  A  10  ANYS,76,84,160
RAMBLA FERRAN - ESTACIO,DE  11  A  15  ANYS,78,72,150
RAMBLA FERRAN - ESTACIO,DE  16  A  20  ANYS,84,85,169
RAMBLA FERRAN - ESTACIO,DE  21  A  25  ANYS,128,148,276
RAMBLA FERRAN - ESTACIO,DE  26  A  30  ANYS,181,166,347
RAMBLA FERRAN - ESTACIO,DE  31  A  35  ANYS,227,175,402
RAMBLA FERRAN - ESTACIO,DE  36  A  40  ANYS,245,169,414
RAMBLA FERRAN - ESTACIO,DE  41  A  45  ANYS,221,152,373
RAMBLA FERRAN - ESTACIO,DE  46  A  50  ANYS,161,136,297
RAMBLA FERRAN - ESTACIO,DE  51  A  55  ANYS,150,158,308
RAMBLA FERRAN - ESTACIO,DE  56  A  60  ANYS,116,108,224
RAMBLA FERRAN - ESTACIO,DE  61  A  65  ANYS,101,107,208
