Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;0 - 4;252;266;518;48,65;51,35
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;5 - 9;268;224;492;54,47;45,53
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;10 - 14;277;242;519;53,37;46,63
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;15 - 19;253;205;458;55,24;44,76
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;20 - 24;327;264;591;55,33;44,67
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;25 - 29;379;363;742;51,08;48,92
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;30 - 34;434;363;797;54,45;45,55
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;35 - 39;531;434;965;55,03;44,97
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;40 - 44;669;459;1128;59,31;40,69
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;45 - 49;578;419;997;57,97;42,03
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;50 - 54;493;358;851;57,93;42,07
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;55 - 59;400;324;724;55,25;44,75
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;60 - 64;252;207;459;54,9;45,1
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;65 - 69;190;188;378;50,26;49,74
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;70 - 74;131;147;278;47,12;52,88
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;75 - 79;100;163;263;38,02;61,98
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;80 - 84;64;141;205;31,22;68,78
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;85 - 89;61;134;195;31,28;68,72
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;90 - 94;32;74;106;30,19;69,81
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;95 - 99;11;18;29;37,93;62,07
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;100 - 104;0;3;3;0;100
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;105 - 109;0;2;2;0;100
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;120;0;0;0;0;0
Totals;;;;;;5702;4998;10700;53,29;46,71
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;10 BALAFIA;0 - 4;381;372;753;50,6;49,4
25;LLEIDA;120;LLEIDA;10 BALAFIA;5 - 9;495;451;946;52,33;47,67
25;LLEIDA;120;LLEIDA;10 BALAFIA;10 - 14;586;574;1160;50,52;49,48
25;LLEIDA;120;LLEIDA;10 BALAFIA;15 - 19;396;372;768;51,56;48,44
25;LLEIDA;120;LLEIDA;10 BALAFIA;20 - 24;362;296;658;55,02;44,98
25;LLEIDA;120;LLEIDA;10 BALAFIA;25 - 29;350;340;690;50,72;49,28
25;LLEIDA;120;LLEIDA;10 BALAFIA;30 - 34;402;440;842;47,74;52,26
25;LLEIDA;120;LLEIDA;10 BALAFIA;35 - 39;520;591;1111;46,8;53,2
25;LLEIDA;120;LLEIDA;10 BALAFIA;40 - 44;855;768;1623;52,68;47,32
25;LLEIDA;120;LLEIDA;10 BALAFIA;45 - 49;735;718;1453;50,58;49,42
25;LLEIDA;120;LLEIDA;10 BALAFIA;50 - 54;607;564;1171;51,84;48,16
25;LLEIDA;120;LLEIDA;10 BALAFIA;55 - 59;446;440;886;50,34;49,66
25;LLEIDA;120;LLEIDA;10 BALAFIA;60 - 64;347;343;690;50,29;49,71
25;LLEIDA;120;LLEIDA;10 BALAFIA;65 - 69;246;270;516;47,67;52,33
25;LLEIDA;120;LLEIDA;10 BALAFIA;70 - 74;212;289;501;42,32;57,68
25;LLEIDA;120;LLEIDA;10 BALAFIA;75 - 79;161;236;397;40,55;59,45
25;LLEIDA;120;LLEIDA;10 BALAFIA;80 - 84;116;166;282;41,13;58,87
25;LLEIDA;120;LLEIDA;10 BALAFIA;85 - 89;70;130;200;35;65
25;LLEIDA;120;LLEIDA;10 BALAFIA;90 - 94;33;66;99;33,33;66,67
25;LLEIDA;120;LLEIDA;10 BALAFIA;95 - 99;5;19;24;20,83;79,17
25;LLEIDA;120;LLEIDA;10 BALAFIA;100 - 104;1;5;6;16,67;83,33
25;LLEIDA;120;LLEIDA;10 BALAFIA;105 - 109;0;1;1;0;100
25;LLEIDA;120;LLEIDA;10 BALAFIA;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;10 BALAFIA;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;10 BALAFIA;120;0;0;0;0;0
Totals;;;;;;7326;7451;14777;49,58;50,42
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;0 - 4;99;92;191;51,83;48,17
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;5 - 9;117;130;247;47,37;52,63
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;10 - 14;143;162;305;46,89;53,11
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;15 - 19;144;128;272;52,94;47,06
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;20 - 24;106;117;223;47,53;52,47
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;25 - 29;117;90;207;56,52;43,48
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;30 - 34;102;103;205;49,76;50,24
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;35 - 39;128;114;242;52,89;47,11
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;40 - 44;171;178;349;49;51
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;45 - 49;191;185;376;50,8;49,2
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;50 - 54;183;137;320;57,19;42,81
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;55 - 59;138;124;262;52,67;47,33
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;60 - 64;118;90;208;56,73;43,27
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;65 - 69;72;88;160;45;55
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;70 - 74;68;104;172;39,53;60,47
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;75 - 79;49;74;123;39,84;60,16
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;80 - 84;37;61;98;37,76;62,24
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;85 - 89;25;36;61;40,98;59,02
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;90 - 94;6;15;21;28,57;71,43
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;95 - 99;1;0;1;100;0
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;120;0;0;0;0;0
Totals;;;;;;2015;2028;4043;49,84;50,16
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;12 PARDINYES;0 - 4;331;280;611;54,17;45,83
25;LLEIDA;120;LLEIDA;12 PARDINYES;5 - 9;394;374;768;51,3;48,7
25;LLEIDA;120;LLEIDA;12 PARDINYES;10 - 14;439;403;842;52,14;47,86
25;LLEIDA;120;LLEIDA;12 PARDINYES;15 - 19;460;417;877;52,45;47,55
